region,length_days,time_begin,day_begin,time_end,day_end,block_intensity,longitude_onset,latitude_onset,block_size,season,month,blocking_year,event_id,date_begin,date_end
1,7.0,0,3,0,10,6.09,-150.0,65.0,,3,1,1979,0,1979-01-03,1979-01-10
2,7.0,0,10,0,17,4.42,60.0,45.0,,3,1,1979,1,1979-01-10,1979-01-17
0,12.0,0,15,0,27,4.5,0.0,45.0,,3,1,1979,2,1979-01-15,1979-01-27
0,5.0,0,15,0,20,4.26,-30.0,65.0,,3,3,1979,3,1979-03-15,1979-03-20
1,5.0,0,23,0,28,4.22,-140.0,50.0,,3,3,1979,4,1979-03-23,1979-03-28
0,6.0,0,25,0,31,4.09,-60.0,45.0,,3,3,1979,5,1979-03-25,1979-03-31
0,5.0,0,10,0,15,2.15,30.0,55.0,,4,4,1979,6,1979-04-10,1979-04-15
1,5.0,0,14,0,19,3.12,150.0,57.5,,4,4,1979,7,1979-04-14,1979-04-19
1,17.0,0,20,0,7,3.8,-150.0,40.0,,4,4,1979,8,1979-04-20,1979-05-07
0,10.0,0,17,0,27,3.24,30.0,52.5,,4,5,1979,9,1979-05-17,1979-05-27
2,9.0,0,28,0,6,1.06,100.0,55.0,,1,8,1979,10,1979-08-28,1979-09-06
1,7.0,0,6,0,13,2.09,-170.0,45.0,,1,9,1979,11,1979-09-06,1979-09-13
0,11.0,0,23,0,3,3.98,10.0,60.0,,2,10,1979,12,1979-10-23,1979-11-03
1,5.0,0,12,0,17,2.61,180.0,55.0,,2,12,1979,13,1979-12-12,1979-12-17
2,17.0,0,23,0,9,3.55,45.0,55.0,,2,12,1979,14,1979-12-23,1980-01-09
1,8.0,0,5,0,13,5.54,-150.0,35.0,,3,1,1980,15,1980-01-05,1980-01-13
0,11.0,0,12,0,23,3.38,-20.0,47.5,,3,1,1980,16,1980-01-12,1980-01-23
1,5.0,0,23,0,28,5.33,-140.0,35.0,,3,1,1980,17,1980-01-23,1980-01-28
2,10.0,0,27,0,6,3.94,70.0,55.0,,3,1,1980,18,1980-01-27,1980-02-06
2,7.0,0,3,0,10,2.81,70.0,55.0,,3,3,1980,19,1980-03-03,1980-03-10
0,10.0,0,16,0,26,3.88,-30.0,75.0,,3,3,1980,20,1980-03-16,1980-03-26
0,8.0,0,3,0,11,3.33,-15.0,45.0,,4,4,1980,21,1980-04-03,1980-04-11
0,6.0,0,16,0,22,3.62,-15.0,45.0,,4,4,1980,22,1980-04-16,1980-04-22
2,9.0,0,21,0,30,2.59,60.0,55.0,,4,4,1980,23,1980-04-21,1980-04-30
2,11.0,0,22,0,3,3.19,-90.0,37.5,,4,4,1980,24,1980-04-22,1980-05-03
0,5.0,0,25,0,30,1.74,-40.0,50.0,,4,4,1980,25,1980-04-25,1980-04-30
0,8.0,0,12,0,20,3.11,5.0,55.0,,4,5,1980,26,1980-05-12,1980-05-20
0,8.0,0,20,0,28,2.71,-25.0,40.0,,4,5,1980,27,1980-05-20,1980-05-28
2,7.0,0,20,0,27,1.85,120.0,52.5,,1,7,1980,28,1980-07-20,1980-07-27
2,6.0,0,29,0,5,1.36,140.0,65.0,,1,7,1980,29,1980-07-29,1980-08-04
2,12.0,0,23,0,4,1.8,120.0,60.0,,1,8,1980,30,1980-08-23,1980-09-04
1,6.0,0,13,0,19,3.48,-150.0,42.5,,1,9,1980,31,1980-09-13,1980-09-19
0,10.0,0,1,0,11,5.09,-20.0,60.0,,2,11,1980,32,1980-11-01,1980-11-11
1,6.0,0,5,0,11,3.67,160.0,55.0,,2,12,1980,33,1980-12-05,1980-12-11
2,6.0,0,17,0,23,2.78,60.0,55.0,,3,1,1981,34,1981-01-17,1981-01-23
0,14.0,0,18,0,1,4.32,10.0,40.0,,3,1,1981,35,1981-01-18,1981-02-01
